,SK_ID_CURR,Probability,Risk Level
0,100013,0.0,Very Low Risk
1,100013,0.0,Very Low Risk
2,100013,0.0,Very Low Risk
3,100019,0.0,Very Low Risk
4,100027,0.0,Very Low Risk
5,100027,0.0,Very Low Risk
6,100037,0.0,Very Low Risk
7,100037,0.0,Very Low Risk
8,100037,0.0,Very Low Risk
9,100037,0.0,Very Low Risk
10,100044,0.0,Very Low Risk
11,100044,0.0,Very Low Risk
12,100055,0.0,Very Low Risk
13,100066,0.0,Very Low Risk
14,100077,0.0,Very Low Risk
15,100085,0.0,Very Low Risk
16,100171,0.0,Very Low Risk
17,100171,0.0,Very Low Risk
18,100171,0.0,Very Low Risk
19,100171,0.0,Very Low Risk
20,100171,0.0,Very Low Risk
21,100171,0.0,Very Low Risk
22,100171,0.0,Very Low Risk
23,100171,0.0,Very Low Risk
24,100171,0.0,Very Low Risk
25,100171,0.0,Very Low Risk
26,100171,0.0,Very Low Risk
27,100171,0.0,Very Low Risk
28,100171,0.0,Very Low Risk
29,100201,0.0,Very Low Risk
30,100238,0.0,Very Low Risk
31,100238,0.0,Very Low Risk
32,100239,0.0,Very Low Risk
33,100239,0.0,Very Low Risk
34,100240,0.0,Very Low Risk
35,100240,0.0,Very Low Risk
36,100257,0.0,Very Low Risk
37,100261,0.0,Very Low Risk
38,100261,0.0,Very Low Risk
39,100308,0.0,Very Low Risk
40,100308,0.0,Very Low Risk
41,100317,0.0,Very Low Risk
42,100317,0.0,Very Low Risk
43,100317,0.0,Very Low Risk
44,100317,0.0,Very Low Risk
45,100317,0.0,Very Low Risk
46,100317,0.0,Very Low Risk
47,100317,0.0,Very Low Risk
48,100317,0.0,Very Low Risk
49,100317,0.0,Very Low Risk
50,100317,0.0,Very Low Risk
51,100317,0.0,Very Low Risk
52,100317,0.0,Very Low Risk
53,100317,0.0,Very Low Risk
54,100317,0.0,Very Low Risk
55,100317,0.0,Very Low Risk
56,100317,0.0,Very Low Risk
57,100317,0.0,Very Low Risk
58,100317,0.0,Very Low Risk
59,100317,0.0,Very Low Risk
60,100317,0.0,Very Low Risk
61,100317,0.0,Very Low Risk
62,100317,0.0,Very Low Risk
63,100317,0.0,Very Low Risk
64,100317,0.0,Very Low Risk
65,100317,0.0,Very Low Risk
66,100317,0.0,Very Low Risk
67,100317,0.0,Very Low Risk
68,100317,0.0,Very Low Risk
69,100317,0.0,Very Low Risk
70,100317,0.0,Very Low Risk
71,100317,0.0,Very Low Risk
72,100317,0.0,Very Low Risk
73,100317,0.0,Very Low Risk
74,100317,0.0,Very Low Risk
75,100317,0.0,Very Low Risk
76,100317,0.0,Very Low Risk
77,100317,0.0,Very Low Risk
78,100317,0.0,Very Low Risk
79,100317,0.0,Very Low Risk
80,100317,0.0,Very Low Risk
81,100317,0.0,Very Low Risk
82,100317,0.0,Very Low Risk
83,100317,0.0,Very Low Risk
84,100317,0.0,Very Low Risk
85,100317,0.0,Very Low Risk
86,100317,0.0,Very Low Risk
87,100317,0.0,Very Low Risk
88,100317,0.0,Very Low Risk
89,100317,0.0,Very Low Risk
90,100317,0.0,Very Low Risk
91,100317,0.0,Very Low Risk
92,100317,0.0,Very Low Risk
93,100317,0.0,Very Low Risk
94,100317,0.0,Very Low Risk
95,100317,0.0,Very Low Risk
96,100317,0.0,Very Low Risk
97,100317,0.0,Very Low Risk
98,100317,0.0,Very Low Risk
99,100317,0.0,Very Low Risk
100,100317,0.0,Very Low Risk
101,100317,0.0,Very Low Risk
102,100317,0.0,Very Low Risk
103,100317,0.0,Very Low Risk
104,100317,0.0,Very Low Risk
105,100317,0.0,Very Low Risk
106,100317,0.0,Very Low Risk
107,100317,0.0,Very Low Risk
108,100317,0.0,Very Low Risk
109,100317,0.0,Very Low Risk
110,100317,0.0,Very Low Risk
111,100317,0.0,Very Low Risk
112,100317,0.0,Very Low Risk
113,100317,0.0,Very Low Risk
114,100317,0.0,Very Low Risk
115,100317,0.0,Very Low Risk
116,100317,0.0,Very Low Risk
117,100317,0.0,Very Low Risk
118,100317,0.0,Very Low Risk
119,100317,0.0,Very Low Risk
120,100317,0.0,Very Low Risk
121,100317,0.0,Very Low Risk
122,100317,0.0,Very Low Risk
123,100317,0.0,Very Low Risk
124,100317,0.0,Very Low Risk
125,100317,0.0,Very Low Risk
126,100317,0.0,Very Low Risk
127,100317,0.0,Very Low Risk
128,100317,0.0,Very Low Risk
129,100317,0.0,Very Low Risk
130,100317,0.0,Very Low Risk
131,100317,0.0,Very Low Risk
132,100317,0.0,Very Low Risk
133,100317,0.0,Very Low Risk
134,100317,0.0,Very Low Risk
135,100317,0.0,Very Low Risk
136,100317,0.0,Very Low Risk
137,100317,0.0,Very Low Risk
138,100317,0.0,Very Low Risk
139,100317,0.0,Very Low Risk
140,100317,0.0,Very Low Risk
141,100317,0.0,Very Low Risk
142,100317,0.0,Very Low Risk
143,100317,0.0,Very Low Risk
144,100317,0.0,Very Low Risk
145,100317,0.0,Very Low Risk
146,100317,0.0,Very Low Risk
147,100317,0.0,Very Low Risk
148,100317,0.0,Very Low Risk
149,100317,0.0,Very Low Risk
150,100317,0.0,Very Low Risk
151,100317,0.0,Very Low Risk
152,100317,0.0,Very Low Risk
153,100317,0.0,Very Low Risk
154,100317,0.0,Very Low Risk
155,100317,0.0,Very Low Risk
156,100317,0.0,Very Low Risk
157,100317,0.0,Very Low Risk
158,100317,0.0,Very Low Risk
159,100317,0.0,Very Low Risk
160,100317,0.0,Very Low Risk
161,100317,0.0,Very Low Risk
162,100317,0.0,Very Low Risk
163,100317,0.0,Very Low Risk
164,100317,0.0,Very Low Risk
165,100317,0.0,Very Low Risk
166,100317,0.0,Very Low Risk
167,100317,0.0,Very Low Risk
168,100317,0.0,Very Low Risk
169,100317,0.0,Very Low Risk
170,100317,0.0,Very Low Risk
171,100317,0.0,Very Low Risk
172,100317,0.0,Very Low Risk
173,100317,0.0,Very Low Risk
174,100317,0.0,Very Low Risk
175,100317,0.0,Very Low Risk
176,100317,0.0,Very Low Risk
177,100317,0.0,Very Low Risk
178,100317,0.0,Very Low Risk
179,100317,0.0,Very Low Risk
180,100317,0.0,Very Low Risk
181,100317,0.0,Very Low Risk
182,100317,0.0,Very Low Risk
183,100317,0.0,Very Low Risk
184,100317,0.0,Very Low Risk
185,100317,0.0,Very Low Risk
186,100317,0.0,Very Low Risk
187,100317,0.0,Very Low Risk
188,100317,0.0,Very Low Risk
189,100317,0.0,Very Low Risk
190,100317,0.0,Very Low Risk
191,100317,0.0,Very Low Risk
192,100317,0.0,Very Low Risk
193,100317,0.0,Very Low Risk
194,100317,0.0,Very Low Risk
195,100317,0.0,Very Low Risk
196,100317,0.0,Very Low Risk
